"","V1","V2"
"1","1994/03/27","15"
"2","1994/04/14","21"
"3","1994/04/15","09"
"4","1994/04/25","18"
"5","1994/04/26","15"
"6","1994/05/05","21"
"7","1994/05/06","18"
"8","1994/05/13","09"
"9","1994/05/29","18"
"10","1994/06/07","18"
"11","1994/06/08","15"
"12","1994/06/10","18"
"13","1994/06/12","21"
"14","1994/06/26","15"
"15","1994/07/16","18"
"16","1994/07/19","21"
"17","1994/07/27","15"
"18","1994/08/07","18"
"19","1994/08/16","12"
"20","1994/10/17","18"
"21","1994/11/27","12"
"22","1995/03/07","12"
"23","1995/04/17","18"
"24","1995/04/19","15"
"25","1995/04/20","15"
"26","1995/04/22","09"
"27","1995/05/07","09"
"28","1995/05/08","18"
"29","1995/05/09","12"
"30","1995/05/12","18"
"31","1995/05/13","18"
"32","1995/05/15","21"
"33","1995/05/16","18"
"34","1995/05/18","09"
"35","1995/05/22","18"
"36","1995/05/27","18"
"37","1995/05/31","12"
"38","1995/06/02","18"
"39","1995/06/03","18"
"40","1995/06/04","15"
"41","1995/06/05","18"
"42","1995/06/07","21"
"43","1995/06/08","18"
"44","1995/06/09","09"
"45","1995/07/04","15"
"46","1995/07/21","21"
"47","1995/07/27","12"
"48","1995/10/04","12"
"49","1995/10/27","15"
"50","1995/11/07","15"
"51","1995/11/11","12"
"52","1995/11/11","21"
"53","1996/01/18","09"
"54","1996/03/05","21"
"55","1996/03/18","18"
"56","1996/04/15","12"
"57","1996/04/19","18"
"58","1996/04/21","18"
"59","1996/05/08","15"
"60","1996/05/09","21"
"61","1996/05/17","18"
"62","1996/05/22","21"
"63","1996/05/25","18"
"64","1996/05/26","15"
"65","1996/05/27","15"
"66","1996/05/28","15"
"67","1996/05/30","15"
"68","1996/05/31","18"
"69","1996/05/31","18"
"70","1996/06/20","21"
"71","1996/07/12","15"
"72","1996/07/17","18"
"73","1996/07/18","18"
"74","1996/07/19","12"
"75","1996/07/23","15"
"76","1996/07/31","21"
"77","1996/09/16","18"
"78","1996/09/20","12"
"79","1996/10/07","09"
"80","1996/10/26","09"
"81","1996/11/07","15"
"82","1996/11/08","12"
"83","1997/01/24","09"
"84","1997/02/28","21"
"85","1997/03/01","15"
"86","1997/03/28","21"
"87","1997/04/04","15"
"88","1997/04/10","18"
"89","1997/04/23","09"
"90","1997/04/30","15"
"91","1997/05/07","18"
"92","1997/05/25","18"
"93","1997/05/26","21"
"94","1997/05/27","15"
"95","1997/05/29","18"
"96","1997/06/11","15"
"97","1997/06/14","18"
"98","1997/06/16","15"
"99","1997/07/01","18"
"100","1997/07/02","15"
"101","1997/07/03","18"
"102","1997/08/16","15"
"103","1997/10/08","15"
"104","1997/10/11","18"
"105","1997/10/23","15"
"106","1997/10/26","12"
"107","1998/01/11","18"
"108","1998/01/21","18"
"109","1998/02/10","12"
"110","1998/02/16","12"
"111","1998/02/22","18"
"112","1998/03/08","12"
"113","1998/03/20","18"
"114","1998/03/29","18"
"115","1998/04/01","15"
"116","1998/04/07","18"
"117","1998/04/08","12"
"118","1998/04/15","18"
"119","1998/04/16","09"
"120","1998/05/07","15"
"121","1998/05/12","18"
"122","1998/05/15","12"
"123","1998/05/19","18"
"124","1998/05/21","12"
"125","1998/05/24","15"
"126","1998/05/28","18"
"127","1998/05/30","15"
"128","1998/05/31","15"
"129","1998/06/02","12"
"130","1998/06/08","18"
"131","1998/06/11","18"
"132","1998/06/13","15"
"133","1998/06/14","15"
"134","1998/06/16","18"
"135","1998/06/18","15"
"136","1998/06/23","21"
"137","1998/06/27","18"
"138","1998/06/29","15"
"139","1998/06/30","09"
"140","1998/07/06","15"
"141","1998/09/28","09"
"142","1998/09/29","12"
"143","1998/10/04","18"
"144","1998/10/17","12"
"145","1998/11/09","21"
"146","1999/01/01","18"
"147","1999/01/02","09"
"148","1999/01/17","18"
"149","1999/01/21","18"
"150","1999/01/22","09"
"151","1999/03/02","21"
"152","1999/03/05","21"
"153","1999/04/05","09"
"154","1999/04/08","12"
"155","1999/04/15","12"
"156","1999/05/02","18"
"157","1999/05/03","18"
"158","1999/05/04","09"
"159","1999/05/05","21"
"160","1999/05/16","18"
"161","1999/05/25","18"
"162","1999/05/31","15"
"163","1999/06/01","18"
"164","1999/06/03","18"
"165","1999/06/04","18"
"166","1999/06/04","21"
"167","1999/06/05","18"
"168","1999/06/06","15"
"169","1999/06/27","18"
"170","1999/06/29","18"
"171","1999/08/09","18"
"172","1999/08/15","15"
"173","1999/09/15","12"
"174","2000/01/03","09"
"175","2000/02/13","18"
"176","2000/03/22","18"
"177","2000/03/26","21"
"178","2000/03/28","21"
"179","2000/04/02","21"
"180","2000/04/03","09"
"181","2000/04/23","15"
"182","2000/04/30","15"
"183","2000/05/11","21"
