"","x"
"1",1994-04-26
"2",1994-06-26
"3",1994-08-16
"4",1995-04-19
"5",1995-05-07
"6",1995-05-09
"7",1995-05-18
"8",1995-11-07
"9",1996-04-19
"10",1996-04-21
"11",1997-03-01
"12",1997-05-25
"13",1998-04-07
"14",1998-04-16
"15",1998-05-07
"16",1998-05-31
"17",1998-06-02
"18",1998-06-13
"19",1999-01-01
"20",1999-01-21
"21",1999-01-22
"22",1999-04-08
"23",1999-05-03
"24",1999-05-04
"25",1999-06-01
"26",2000-04-23
"27",2000-05-17
"28",2000-05-18
"29",2001-04-10
"30",2001-04-11
"31",2001-05-20
"32",2001-06-13
"33",2001-11-24
"34",2002-05-05
"35",2002-11-10
"36",2002-12-18
"37",2003-05-04
"38",2003-05-06
"39",2003-05-10
"40",2003-05-15
"41",2003-05-16
"42",2003-06-24
"43",2004-05-22
"44",2004-05-24
"45",2004-05-29
"46",2004-05-30
"47",2004-06-11
"48",2004-09-07
"49",2004-09-15
"50",2004-09-17
"51",2004-10-18
"52",2004-11-23
"53",2005-06-09
"54",2005-08-29
"55",2005-09-24
"56",2005-09-25
"57",2005-11-15
"58",2005-11-27
"59",2006-03-12
"60",2006-04-02
"61",2006-04-07
"62",2006-09-22
"63",2007-03-01
"64",2007-03-28
"65",2007-05-05
"66",2007-10-18
"67",2008-01-07
"68",2008-02-05
"69",2008-03-15
"70",2008-04-09
"71",2008-05-02
"72",2008-05-10
"73",2008-05-23
"74",2008-05-25
"75",2008-05-29
"76",2008-06-04
"77",2008-06-05
"78",2008-06-11
"79",2009-04-10
"80",2009-05-08
"81",2009-06-15
"82",2009-10-29
"83",2010-04-22
"84",2010-04-24
"85",2010-05-01
"86",2010-05-10
"87",2010-05-18
"88",2010-06-05
"89",2010-06-17
"90",2010-10-26
"91",2011-02-27
"92",2011-04-14
"93",2011-04-15
"94",2011-04-16
"95",2011-04-19
"96",2011-04-25
"97",2011-04-26
"98",2011-04-27
"99",2011-05-22
"100",2011-05-24
"101",2011-05-25
"102",2011-06-20
"103",2012-03-02
"104",2012-04-14
"105",2012-12-25
"106",2013-01-29
"107",2013-05-20
"108",2013-05-31
"109",2013-11-17
"110",2014-02-20
"111",2014-04-28
"112",2014-05-11
"113",2014-06-16
"114",2014-06-30
"115",2015-05-06
"116",2015-05-16
"117",2015-05-19
"118",2015-11-16
"119",2015-12-23
"120",2016-02-23
"121",2016-04-26
"122",2016-05-24
"123",2017-01-02
"124",2017-01-21
"125",2017-02-28
"126",2017-03-06
"127",2017-04-03
"128",2017-04-30
"129",2017-05-18
"130",2017-05-19
